ID,SC2,SC5,DE14,HH1,HH2,EL6,CI6,CI7,DE3,DE4,CI12_1,CI12_2
ts92,0,4,85281,4,1,1,NA,0,1,0,-2,-2
ts93,1,5,85281,1,0,NA,0,1,3,0,-2,-2
ts94,0,4,85282,2,0,-1,0,0,2,0,2,1
ts95,0,4,85284,1,0,0,-1,0,2,1,2,2
ts96,0,3,85283,2,0,0,0,0,2,0,-1,0
ts97,0,4,85284,2,0,-1,0,0,2,0,0,0
ts98,0,5,85284,2,1,-1,-1,0,2,0,1,1
ts99,0,5,85284,2,0,NA,0,-1,2,1,1,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
